Card Name,Original Yu-Gi-Oh! Page,Matched TCG Snapshot,Passcode,Status,Attribute,Type,Level,Rank,Link Rating,Link Arrows,Pendulum Scale,ATK,DEF,Spell/Trap Property,Summoning Condition,Pendulum Effect / Condition,Lore / Effect / Description,Supports,Anti-Supports,Card Actions,Effect Types
4-Starred Ladybug of Doom,1,Yes,,,WIND,[Insect/Flip?Effect],3,,,,,800,1200,,,,FLIP: Destroy all Level 4 monsters your opponent controls.,,,,Flip
A Deal with Dark Ruler,1,Yes,,,SPELL,,,,,,,,,Quick-Play,,,"(This card is always treated as an ""Archfiend"" card.)If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",Berserk Dragon,,,Condition/Activation requirement/Effect
A Legendary Ocean,1,Yes,,,SPELL,,,,,,,,,Field,,,"(This card is always treated as ""Umi"".)All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",WATER,,,Condition/Continuous-like
A Wingbeat of Giant Dragon,1,Yes,,,SPELL,,,,,,,,,,,,"Return 1 Level 5 or higher Dragon-Type monster you control to the hand, and if you do, destroy all Spell and Trap Cards on the field.",Dragon,,Returns from your field to your hand,Effect
Absorb Spell,1,No,,,,,,,,,,,,,,,,,,,
Active Guard,1,No,,,,,,,,,,,,,,,,,,,
Advanced Shield,1,No,,,,,,,,,,,,,,,,,,,
Aeris,1,No,,,,,,,,,,,,,,,,,,,
Aero Nail,1,No,,,,,,,,,,,,,,,,,,,
Aetonyx Flame,1,No,,,,,,,,,,,,,,,,,,,
Aid to the Doomed,1,No,,,,,,,,,,,,,,,,,,,
Air Fortress Ziggurat,1,No,,,,,,,,,,,,,,,,,,,
Airknight Parshath,1,Yes,,,LIGHT,[Fairy/Effect],5,,,,,1900,1400,,,,"If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. If this card inflicts battle damage to your opponent: Draw 1 card.",,,Activates when it inflicts battle damage/You draw cards,Continuous/Trigger
Alligator's Sword,1,Yes,,,EARTH,[Beast/Normal],4,,,,,1500,1200,,,,"ey, dis mighty lissard man can swing his sword so fast, dat it's more dan da speed a sound!",,,,
Alligator's Sword Dragon,1,Yes,,,WIND,[Dragon/Fusion?Effect],5,,,,,1700,1500,,"Baby Dragon + ""Alligator's Sword""",,"This card can attack your opponent directly if the only face-up monsters they control are EARTH, WATER, or FIRE.",,EARTH/FIRE/WATER,,Continuous
Alpha The Magnet Warrior,1,Yes,,,EARTH,[Rock/Normal],4,,,,,1400,1700,,,,"Alpha, Beta, and Gamma meld as one to form a powerful monster.",,,,
Altar of Mist,1,No,,,,,,,,,,,,,,,,,,,
Altar of Restoration,1,No,,,,,,,,,,,,,,,,,,,
Amazon Chain Master,1,No,,,,,,,,,,,,,,,,,,,
Amazon Fighter,1,No,,,,,,,,,,,,,,,,,,,
